manga,stem,method,iou,precision,recall,f1,tp,fp,fn,inference_time_seconds
Donburakokko,004,standin,0.0026365129273755723,0.0026665834566624467,0.1894956918398378,0.005259160011393967,2991,1118669,12793,0.0
Donburakokko,005,standin,0.004032405500628835,0.004128524608690738,0.14763083451202264,0.008032421022543,5845,1409915,33747,0.0
Donburakokko,006,standin,0.0042945994083745335,0.004366740280444108,0.20632103378483574,0.008552469386780458,6626,1510753,25489,0.0
Donburakokko,007,standin,0.002156154086674621,0.002180922607401673,0.15956082294392285,0.004303030177247485,3110,1422892,16381,0.0
Donburakokko,008,standin,0.004029851873673397,0.004133915620079595,0.1379943612425959,0.008027354696980528,5335,1285209,33326,0.0
Donburakokko,009,standin,0.00467942461500167,0.004770618001632778,0.19665531124187055,0.009315259176915761,5715,1192243,23346,0.0
DualJustice,000,standin,0.05868228722411041,0.06221438217326529,0.5082686671424883,0.11085910840725735,66940,1009017,64762,0.0
DualJustice,001,standin,0.005408490122101231,0.005454261629722136,0.39190907051521723,0.01075879142704355,5241,955659,8132,0.0
DualJustice,002,standin,0.0022509148482762233,0.0022730458942431466,0.1877763739734681,0.004491719219067959,3567,1565693,15429,0.0
DualJustice,003,standin,0.0034303746027538502,0.003506360258594069,0.13666187832433901,0.006837294723337221,3520,1000370,22237,0.0
DualJustice,004,standin,0.002142478978313669,0.002155283893994517,0.2650384796607507,0.00427579715111554,3375,1562544,9359,0.0
DualJustice,005,standin,0.006201709637221821,0.006281499386365477,0.32806246949731577,0.012326970979720953,10083,1595107,20652,0.0
DualJustice,006,standin,0.004040228133571335,0.004077756079127049,0.3050767857981496,0.008047940750505165,6496,1586537,14797,0.0
DualJustice,007,standin,0.002853675629865198,0.00287065256508042,0.32547821659757076,0.00569111067588775,4475,1554404,9274,0.0
DualJustice,008,standin,0.0036983909391330345,0.0037327926540900534,0.28637572652940596,0.007369526488276128,5814,1551733,14488,0.0
DualJustice,009,standin,0.006024025075495008,0.00610102756473153,0.32308617636248205,0.011975906986998542,9669,1575146,20258,0.0
EienNoWith,000,standin,0.0015179175472481473,0.0015369035496721867,0.10942841243342077,0.0030312339313221266,2753,1788511,22405,0.0
EienNoWith,001,standin,0.011259624139991285,0.011461747255140469,0.38968450327777077,0.02226851319129218,21578,1861032,33795,0.0
EienNoWith,002,standin,0.0013884084649827826,0.0013921099766881584,0.34304302824190447,0.0027729669192218,2320,1664215,4443,0.0
EienNoWith,003,standin,0.002897662689406861,0.0029166191576917894,0.30835616438356167,0.005778581000251577,4502,1539066,10098,0.0
EienNoWith,004,standin,0.004058482908522814,0.004092857700096851,0.32579391124349977,0.008084156406440265,6453,1570196,13354,0.0
EienNoWith,005,standin,0.007111274387603815,0.007230096945995489,0.30201996749477594,0.014122122487265337,13008,1786138,30062,0.0
EienNoWith,006,standin,0.004871496999211107,0.0049299692838378865,0.2911472148541114,0.009695761127186061,8781,1772366,21379,0.0
EienNoWith,007,standin,0.0037006365558628837,0.0037309133696721217,0.31319502850200914,0.007373984674477025,6703,1789908,14699,0.0
EienNoWith,008,standin,0.005502619612821886,0.005580716406166172,0.28223390424509637,0.010945012982543438,9986,1779390,25396,0.0
EienNoWith,009,standin,0.0035290551536228416,0.0035572690733803388,0.3079347879623701,0.007033289440897363,6252,1751276,14051,0.0
EvaLady,000,standin,0.03857134398051025,0.07425365690812642,0.07430175335679833,0.07427769734658514,18239,227392,227233,0.0
EvaLady,001,standin,0.05069890869243923,0.057882036578633375,0.29004227598746224,0.09650511344973675,26002,423222,63647,0.0
EvaLady,002,standin,0.00362108768069296,0.0036439175137747584,0.36627414761794813,0.0072160454281826065,4759,1301253,8234,0.0
EvaLady,003,standin,0.0049289821354963565,0.004981475688915846,0.3186828078417201,0.009809612864427815,7055,1409192,15083,0.0
EvaLady,004,standin,0.002945121982910208,0.0030093821915383252,0.12120635976899494,0.005872947419271443,5100,1689600,36977,0.0
EvaLady,005,standin,0.02643099878350301,0.02783559407385852,0.3437445309127396,0.05150078050025435,29462,1028967,56247,0.0
EvaLady,006,standin,0.0,0.0,0.0,0.0,0,332573,0,0.0
EvaLady,007,standin,0.012787945559291643,0.012996301833346447,0.4437191059531485,0.02525295767067954,16517,1254383,20707,0.0
EvaLady,008,standin,0.006367375201219698,0.006525222620965631,0.20837202823179793,0.012654176512720442,8975,1366457,34097,0.0
EvaLady,009,standin,0.008076444372092288,0.008287158519331093,0.24106608648354638,0.016023476031369662,13296,1591114,41859,0.0
EverydayOsakanaChan,000,standin,0.007992754569371941,0.00811830317587343,0.3407314415652091,0.015858754010164598,14385,1757537,27833,0.0
EverydayOsakanaChan,001,standin,0.005223153659333885,0.005334975151441474,0.19948468725124638,0.01039202815876243,9523,1775490,38215,0.0
EverydayOsakanaChan,002,standin,0.004330142021603088,0.00437517561592552,0.2961161145062721,0.008622945464699487,7365,1675996,17507,0.0
EverydayOsakanaChan,003,standin,0.006481933579659507,0.006589257123009832,0.2846750481597891,0.012880377408476322,11231,1693210,28221,0.0
